STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,sex,Sex,age,Age class,n_child,Number of children,agechild,Age of the child,isced11,International Standard Classification of Education (ISCED 2011),unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:LFST_HHEREDCH(1.0),"Employment rate of adults by educational attainment level, number of children and age of youngest child",A,Annual,F,Females,Y25-49,From 25 to 49 years,0,No children,TOTAL,Total,TOTAL,All ISCED 2011 levels,RT,Rate,DE,Germany,2021,,86.0,,b,break in time series,,
dataflow,ESTAT:LFST_HHEREDCH(1.0),"Employment rate of adults by educational attainment level, number of children and age of youngest child",A,Annual,F,Females,Y25-49,From 25 to 49 years,0,No children,TOTAL,Total,TOTAL,All ISCED 2011 levels,RT,Rate,DE,Germany,2022,,86.7,,,,,
dataflow,ESTAT:LFST_HHEREDCH(1.0),"Employment rate of adults by educational attainment level, number of children and age of youngest child",A,Annual,F,Females,Y25-49,From 25 to 49 years,0,No children,TOTAL,Total,TOTAL,All ISCED 2011 levels,RT,Rate,DE,Germany,2023,,86.6,,,,,
dataflow,ESTAT:LFST_HHEREDCH(1.0),"Employment rate of adults by educational attainment level, number of children and age of youngest child",A,Annual,F,Females,Y25-49,From 25 to 49 years,0,No children,TOTAL,Total,TOTAL,All ISCED 2011 levels,RT,Rate,DE,Germany,2024,,86.9,,,,,
dataflow,ESTAT:LFST_HHEREDCH(1.0),"Employment rate of adults by educational attainment level, number of children and age of youngest child",A,Annual,F,Females,Y25-49,From 25 to 49 years,0,No children,TOTAL,Total,TOTAL,All ISCED 2011 levels,RT,Rate,DK,Denmark,2015,,77.9,,,,,
dataflow,ESTAT:LFST_HHEREDCH(1.0),"Employment rate of adults by educational attainment level, number of children and age of youngest child",A,Annual,F,Females,Y25-49,From 25 to 49 years,0,No children,TOTAL,Total,TOTAL,All ISCED 2011 levels,RT,Rate,DK,Denmark,2016,,78.3,,b,break in time series,,
dataflow,ESTAT:LFST_HHEREDCH(1.0),"Employment rate of adults by educational attainment level, number of children and age of youngest child",A,Annual,F,Females,Y25-49,From 25 to 49 years,0,No children,TOTAL,Total,TOTAL,All ISCED 2011 levels,RT,Rate,DK,Denmark,2017,,78.1,,b,break in time series,,
dataflow,ESTAT:LFST_HHEREDCH(1.0),"Employment rate of adults by educational attainment level, number of children and age of youngest child",A,Annual,F,Females,Y25-49,From 25 to 49 years,0,No children,TOTAL,Total,TOTAL,All ISCED 2011 levels,RT,Rate,DK,Denmark,2018,,78.0,,,,,
dataflow,ESTAT:LFST_HHEREDCH(1.0),"Employment rate of adults by educational attainment level, number of children and age of youngest child",A,Annual,F,Females,Y25-49,From 25 to 49 years,0,No children,TOTAL,Total,TOTAL,All ISCED 2011 levels,RT,Rate,DK,Denmark,2019,,79.4,,,,,
dataflow,ESTAT:LFST_HHEREDCH(1.0),"Employment rate of adults by educational attainment level, number of children and age of youngest child",A,Annual,F,Females,Y25-49,From 25 to 49 years,0,No children,TOTAL,Total,TOTAL,All ISCED 2011 levels,RT,Rate,DK,Denmark,2020,,77.7,,,,,
dataflow,ESTAT:LFST_HHEREDCH(1.0),"Employment rate of adults by educational attainment level, number of children and age of youngest child",A,Annual,F,Females,Y25-49,From 25 to 49 years,0,No children,TOTAL,Total,TOTAL,All ISCED 2011 levels,RT,Rate,DK,Denmark,2021,,75.6,,b,break in time series,,
dataflow,ESTAT:LFST_HHEREDCH(1.0),"Employment rate of adults by educational attainment level, number of children and age of youngest child",A,Annual,F,Females,Y25-49,From 25 to 49 years,0,No children,TOTAL,Total,TOTAL,All ISCED 2011 levels,RT,Rate,DK,Denmark,2022,,78.2,,,,,
dataflow,ESTAT:LFST_HHEREDCH(1.0),"Employment rate of adults by educational attainment level, number of children and age of youngest child",A,Annual,F,Females,Y25-49,From 25 to 49 years,0,No children,TOTAL,Total,TOTAL,All ISCED 2011 levels,RT,Rate,DK,Denmark,2023,,75.0,,b,break in time series,,
dataflow,ESTAT:LFST_HHEREDCH(1.0),"Employment rate of adults by educational attainment level, number of children and age of youngest child",A,Annual,F,Females,Y25-49,From 25 to 49 years,0,No children,TOTAL,Total,TOTAL,All ISCED 2011 levels,RT,Rate,DK,Denmark,2024,,74.2,,,,,
dataflow,ESTAT:LFST_HHEREDCH(1.0),"Employment rate of adults by educational attainment level, number of children and age of youngest child",A,Annual,F,Females,Y25-49,From 25 to 49 years,0,No children,TOTAL,Total,TOTAL,All ISCED 2011 levels,RT,Rate,EA20,Euro area – 20 countries (2023-2025),2015,,74.9,,,,,
dataflow,ESTAT:LFST_HHEREDCH(1.0),"Employment rate of adults by educational attainment level, number of children and age of youngest child",A,Annual,F,Females,Y25-49,From 25 to 49 years,0,No children,TOTAL,Total,TOTAL,All ISCED 2011 levels,RT,Rate,EA20,Euro area – 20 countries (2023-2025),2016,,75.8,,,,,
dataflow,ESTAT:LFST_HHEREDCH(1.0),"Employment rate of adults by educational attainment level, number of children and age of youngest child",A,Annual,F,Females,Y25-49,From 25 to 49 years,0,No children,TOTAL,Total,TOTAL,All ISCED 2011 levels,RT,Rate,EA20,Euro area – 20 countries (2023-2025),2017,,76.3,,,,,
dataflow,ESTAT:LFST_HHEREDCH(1.0),"Employment rate of adults by educational attainment level, number of children and age of youngest child",A,Annual,F,Females,Y25-49,From 25 to 49 years,0,No children,TOTAL,Total,TOTAL,All ISCED 2011 levels,RT,Rate,EA20,Euro area – 20 countries (2023-2025),2018,,77.4,,,,,
dataflow,ESTAT:LFST_HHEREDCH(1.0),"Employment rate of adults by educational attainment level, number of children and age of youngest child",A,Annual,F,Females,Y25-49,From 25 to 49 years,0,No children,TOTAL,Total,TOTAL,All ISCED 2011 levels,RT,Rate,EA20,Euro area – 20 countries (2023-2025),2019,,78.1,,,,,
dataflow,ESTAT:LFST_HHEREDCH(1.0),"Employment rate of adults by educational attainment level, number of children and age of youngest child",A,Annual,F,Females,Y25-49,From 25 to 49 years,0,No children,TOTAL,Total,TOTAL,All ISCED 2011 levels,RT,Rate,EA20,Euro area – 20 countries (2023-2025),2020,,76.0,,,,,
dataflow,ESTAT:LFST_HHEREDCH(1.0),"Employment rate of adults by educational attainment level, number of children and age of youngest child",A,Annual,F,Females,Y25-49,From 25 to 49 years,0,No children,TOTAL,Total,TOTAL,All ISCED 2011 levels,RT,Rate,EA20,Euro area – 20 countries (2023-2025),2021,,77.4,,b,break in time series,,
dataflow,ESTAT:LFST_HHEREDCH(1.0),"Employment rate of adults by educational attainment level, number of children and age of youngest child",A,Annual,F,Females,Y25-49,From 25 to 49 years,0,No children,TOTAL,Total,TOTAL,All ISCED 2011 levels,RT,Rate,EA20,Euro area – 20 countries (2023-2025),2022,,79.4,,,,,
